Entity,Code,Day,vaccine_eligibility_age
Afghanistan,AFG,2022-08-17,16
Afghanistan,AFG,2022-08-18,16
Afghanistan,AFG,2022-08-19,16
Afghanistan,AFG,2022-08-20,16
Afghanistan,AFG,2022-08-21,16
Afghanistan,AFG,2022-08-22,16
Afghanistan,AFG,2022-08-23,16
Afghanistan,AFG,2022-08-24,16
Afghanistan,AFG,2022-08-25,16
Afghanistan,AFG,2022-08-26,16
Afghanistan,AFG,2022-08-27,16
Afghanistan,AFG,2022-08-28,16
Afghanistan,AFG,2022-08-29,16
Afghanistan,AFG,2022-08-30,16
Afghanistan,AFG,2022-08-31,16
Afghanistan,AFG,2022-09-01,16
Afghanistan,AFG,2022-09-02,16
Afghanistan,AFG,2022-09-03,16
Afghanistan,AFG,2022-09-04,16
Afghanistan,AFG,2022-09-05,16
Afghanistan,AFG,2022-09-06,16
Afghanistan,AFG,2022-09-07,16
Afghanistan,AFG,2022-09-08,16
Afghanistan,AFG,2022-09-09,16
Afghanistan,AFG,2022-09-10,16
Afghanistan,AFG,2022-09-11,16
Afghanistan,AFG,2022-09-12,16
Afghanistan,AFG,2022-09-13,16
Afghanistan,AFG,2022-09-14,16
Afghanistan,AFG,2022-09-15,16
Afghanistan,AFG,2022-09-16,16
Afghanistan,AFG,2022-09-17,16
Afghanistan,AFG,2022-09-18,16
Afghanistan,AFG,2022-09-19,16
Afghanistan,AFG,2022-09-20,16
Afghanistan,AFG,2022-09-21,16
Afghanistan,AFG,2022-09-22,16
Afghanistan,AFG,2022-09-23,16
Afghanistan,AFG,2022-09-24,16
Afghanistan,AFG,2022-09-25,16
Afghanistan,AFG,2022-09-26,16
Afghanistan,AFG,2022-09-27,16
Afghanistan,AFG,2022-09-28,16
Afghanistan,AFG,2022-09-29,16
Afghanistan,AFG,2022-09-30,16
Afghanistan,AFG,2022-10-01,16
Afghanistan,AFG,2022-10-02,16
Afghanistan,AFG,2022-10-03,16
Afghanistan,AFG,2022-10-04,16
Afghanistan,AFG,2022-10-05,16
Afghanistan,AFG,2022-10-06,16
Afghanistan,AFG,2022-10-07,16
Afghanistan,AFG,2022-10-08,16
Afghanistan,AFG,2022-10-09,16
Afghanistan,AFG,2022-10-10,16
Afghanistan,AFG,2022-10-11,16
Afghanistan,AFG,2022-10-12,16
Afghanistan,AFG,2022-10-13,16
Afghanistan,AFG,2022-10-14,16
Afghanistan,AFG,2022-10-15,16
Afghanistan,AFG,2022-10-16,16
Afghanistan,AFG,2022-10-17,16
Afghanistan,AFG,2022-10-18,16
Afghanistan,AFG,2022-10-19,16
Afghanistan,AFG,2022-10-20,16
Afghanistan,AFG,2022-10-21,16
Afghanistan,AFG,2022-10-22,16
Afghanistan,AFG,2022-10-23,16
Afghanistan,AFG,2022-10-24,16
Afghanistan,AFG,2022-10-25,16
Afghanistan,AFG,2022-10-26,16
Afghanistan,AFG,2022-10-27,16
Afghanistan,AFG,2022-10-28,16
Afghanistan,AFG,2022-10-29,16
Afghanistan,AFG,2022-10-30,16
Afghanistan,AFG,2022-10-31,16
Afghanistan,AFG,2022-11-01,16
Afghanistan,AFG,2022-11-02,16
Afghanistan,AFG,2022-11-03,16
Afghanistan,AFG,2022-11-04,16
Afghanistan,AFG,2022-11-05,16
Afghanistan,AFG,2022-11-06,16
Afghanistan,AFG,2022-11-07,16
Afghanistan,AFG,2022-11-08,16
Afghanistan,AFG,2022-11-09,16
Afghanistan,AFG,2022-11-10,16
Albania,ALB,2021-01-18,75
Albania,ALB,2021-01-19,75
Albania,ALB,2021-01-20,75
Albania,ALB,2021-01-21,75
Albania,ALB,2021-01-22,75
Albania,ALB,2021-01-23,75
Albania,ALB,2021-01-24,75
Albania,ALB,2021-01-25,75
Albania,ALB,2021-01-26,75
Albania,ALB,2021-01-27,75
Albania,ALB,2021-01-28,75
Albania,ALB,2021-01-29,75
Albania,ALB,2021-01-30,75
Albania,ALB,2021-01-31,75
Albania,ALB,2021-02-01,75
Albania,ALB,2021-02-02,75
Albania,ALB,2021-02-03,75
Albania,ALB,2021-02-04,75
Albania,ALB,2021-02-05,75
Albania,ALB,2021-02-06,75
Albania,ALB,2021-02-07,75
Albania,ALB,2021-02-08,75
Albania,ALB,2021-02-09,75
Albania,ALB,2021-02-10,75
Albania,ALB,2021-02-11,75
Albania,ALB,2021-02-12,75
Albania,ALB,2021-02-13,75
Albania,ALB,2021-02-14,75
Albania,ALB,2021-02-15,75
Albania,ALB,2021-02-16,75
Albania,ALB,2021-02-17,75
Albania,ALB,2021-02-18,75
Albania,ALB,2021-02-19,75
Albania,ALB,2021-02-20,75
Albania,ALB,2021-02-21,75
Albania,ALB,2021-02-22,75
Albania,ALB,2021-02-23,75
Albania,ALB,2021-02-24,75
Albania,ALB,2021-02-25,75
Albania,ALB,2021-02-26,75
Albania,ALB,2021-02-27,75
Albania,ALB,2021-02-28,75
Albania,ALB,2021-03-01,75
Albania,ALB,2021-03-02,75
Albania,ALB,2021-03-03,75
Albania,ALB,2021-03-04,75
Albania,ALB,2021-03-05,75
Albania,ALB,2021-03-06,75
Albania,ALB,2021-03-07,75
Albania,ALB,2021-03-08,75
Albania,ALB,2021-03-09,75
Albania,ALB,2021-03-10,75
Albania,ALB,2021-03-11,75
Albania,ALB,2021-03-12,75
Albania,ALB,2021-03-13,75
Albania,ALB,2021-03-14,75
Albania,ALB,2021-03-15,75
Albania,ALB,2021-03-16,75
