Entity,Code,Day,vaccine_eligibility_age
United Kingdom,GBR,2022-10-28,5-15 yrs
United Kingdom,GBR,2022-10-29,5-15 yrs
United Kingdom,GBR,2022-10-30,5-15 yrs
United Kingdom,GBR,2022-10-31,5-15 yrs
United Kingdom,GBR,2022-11-01,5-15 yrs
United Kingdom,GBR,2022-11-02,5-15 yrs
United Kingdom,GBR,2022-11-03,5-15 yrs
United Kingdom,GBR,2022-11-04,5-15 yrs
United Kingdom,GBR,2022-11-05,5-15 yrs
United Kingdom,GBR,2022-11-06,5-15 yrs
United Kingdom,GBR,2022-11-07,5-15 yrs
United Kingdom,GBR,2022-11-08,5-15 yrs
United Kingdom,GBR,2022-11-09,5-15 yrs
United Kingdom,GBR,2022-11-10,5-15 yrs
United Kingdom,GBR,2022-11-11,5-15 yrs
United Kingdom,GBR,2022-11-12,5-15 yrs
United Kingdom,GBR,2022-11-13,5-15 yrs
United Kingdom,GBR,2022-11-14,5-15 yrs
United Kingdom,GBR,2022-11-15,5-15 yrs
United Kingdom,GBR,2022-11-16,5-15 yrs
United Kingdom,GBR,2022-11-17,5-15 yrs
United Kingdom,GBR,2022-11-18,5-15 yrs
United Kingdom,GBR,2022-11-19,5-15 yrs
United Kingdom,GBR,2022-11-20,5-15 yrs
United Kingdom,GBR,2022-11-21,5-15 yrs
United Kingdom,GBR,2022-11-22,5-15 yrs
United Kingdom,GBR,2022-11-23,5-15 yrs
United Kingdom,GBR,2022-11-24,5-15 yrs
United Kingdom,GBR,2022-11-25,5-15 yrs
United Kingdom,GBR,2022-11-26,5-15 yrs
United Kingdom,GBR,2022-11-27,5-15 yrs
United Kingdom,GBR,2022-11-28,5-15 yrs
United Kingdom,GBR,2022-11-29,5-15 yrs
United Kingdom,GBR,2022-11-30,5-15 yrs
United Kingdom,GBR,2022-12-01,5-15 yrs
