Day,daily_new_cases,daily_recovered_cases,new_deaths,infectious,cumulative_cases,cumulative_infectious,cumulative_recovered,cumulative_deaths,school_closures,workplace_closures,cancel_public_events,restriction_gatherings,stay_home_requirements,facial_coverings,public_information_campaigns,close_public_transport,restrictions_internal_movements,international_travel_controls,testing_policy,contact_tracing,vaccination_policy,childhood_vaccine_availability,vaccine_eligibility_age,income_support,debt_relief,vaccine_eligibility_age_categorical
2020-06-28,383,139,2,8788,23872,620186,15084,328,2,2,2,2,2,3,2,1,2,4,2,2,0,0,nil,2,2,0
2020-06-29,759,166,0,9381,24631,629567,15250,328,2,2,2,2,2,3,2,1,2,4,2,2,0,0,nil,2,2,0
2020-06-30,789,127,1,10043,25420,639610,15377,329,1,2,2,2,2,3,2,1,2,4,2,2,0,0,nil,2,2,0
2020-07-01,966,98,3,10911,26386,650521,15475,332,1,2,2,2,2,3,2,1,2,4,2,2,0,0,nil,2,2,0
2020-07-02,1153,124,1,11940,27539,662461,15599,333,1,2,2,2,2,3,2,1,2,4,2,2,0,0,nil,2,2,0
2020-07-03,941,119,3,12762,28480,675223,15718,336,1,2,2,2,2,3,2,1,2,4,2,2,0,0,nil,2,2,0
2020-07-04,819,76,5,13505,29299,688728,15794,341,1,2,2,2,2,3,2,1,2,4,2,2,0,0,nil,2,2,0
2020-07-05,824,143,2,14186,30123,702914,15937,343,1,2,2,2,2,3,2,1,2,4,2,1,0,0,nil,2,2,0
2020-07-06,1128,193,8,15121,31251,718035,16130,351,2,2,2,3,2,3,2,1,2,4,2,1,0,0,nil,2,2,0
2020-07-07,1383,172,5,16332,32634,734367,16302,356,2,2,2,3,2,3,2,1,2,4,2,1,0,0,nil,2,2,0
2020-07-08,1329,225,5,17436,33963,751803,16527,361,2,2,2,3,2,3,2,1,2,4,2,1,0,0,nil,2,2,0
2020-07-09,1520,225,5,18731,35483,770534,16752,366,2,2,2,3,2,3,2,1,2,4,2,1,0,0,nil,2,2,0
2020-07-10,1404,210,4,19925,36887,790459,16962,370,2,2,2,3,2,3,2,1,2,4,2,1,0,0,nil,2,2,0
2020-07-11,1168,191,5,20902,38055,811361,17153,375,2,2,2,3,2,3,2,1,2,4,2,1,0,0,nil,2,2,0
2020-07-12,1236,336,7,21802,39291,833163,17489,382,2,2,2,3,2,3,2,1,2,4,2,1,0,0,nil,2,2,0
2020-07-13,1717,360,4,23159,41008,856322,17849,386,1,1,2,3,2,3,2,1,2,4,2,1,0,0,nil,2,2,0
2020-07-14,1601,313,7,24447,42609,880769,18162,393,1,1,2,3,2,3,2,1,2,4,2,1,0,0,nil,2,2,0
2020-07-15,1873,361,6,25959,44482,906728,18523,399,1,1,2,3,2,3,2,1,2,4,2,1,0,0,nil,2,2,0
2020-07-16,1936,508,9,27387,46418,934115,19031,408,1,1,2,3,2,3,2,1,2,4,2,1,0,0,nil,2,2,0
2020-07-17,1601,481,12,28507,48019,962622,19512,420,1,1,2,3,2,3,2,1,2,4,2,1,0,0,nil,2,2,0
2020-07-18,1444,447,8,29504,49463,992126,19959,428,1,1,2,3,0,3,2,1,0,4,2,1,0,0,nil,2,2,0
2020-07-19,1016,516,10,30004,50479,1022130,20475,438,1,1,2,3,0,3,2,1,0,4,2,1,0,0,nil,2,2,0
2020-07-20,1887,624,12,31267,52366,1053397,21099,450,1,1,2,3,0,3,2,1,0,4,2,1,0,0,nil,2,2,0
2020-07-21,2004,640,9,32631,54370,1086028,21739,459,1,1,2,3,0,3,2,1,0,4,2,1,0,0,nil,2,2,0
2020-07-22,2039,3700,6,30970,56409,1116998,25439,465,1,1,2,3,0,3,2,1,0,4,2,1,0,0,nil,2,2,0
